time,n_sites,dt,max_bond,cutoff,prob_initial,prob_branch1,prob_branch2,prob_competing_group,return_echo,rate_initial,rate_branch1,rate_branch2,rate_competing_group,rate_total,rate_lower_envelope,delta_rate_individual,delta_rate_grouped,branch_symmetry_relative_error,local_ordered_moment,mps_norm,cumulative_discarded_weight,realized_maximum_bond
0.2,50,0.02,48,1e-10,0.0001955675853112,8.609878761862934e-54,8.609878761862814e-54,1.7219757523725748e-53,0.0001955675853112,0.1707920906672824,2.443733695688448,2.443733695688449,2.4298707520772496,0.1707920906672824,0.1707920906672824,-2.272941605021165,-2.259078661409967,1.4135893220533296e-14,0.7614541047479452,1.000000000000014,1.5960465499625153e-18,10
0.22,50,0.02,48,1e-10,3.7892240299543e-05,7.960693742167109e-50,7.960693742166656e-50,1.5921387484333769e-49,3.7892240299543e-05,0.2036152841655028,2.261094770002101,2.2610947700021025,2.247231826390903,0.2036152841655028,0.2036152841655028,-2.0574794858365992,-2.0436165422254,5.689687307948786e-14,0.7182866903179076,0.9999999999999852,1.6715509682095521e-18,11
0.24,50,0.02,48,1e-10,6.795519308641651e-06,3.0545670716174442e-46,3.0545670716174874e-46,6.109134143234931e-46,6.795519308641651e-06,0.2379849417633718,2.096045528131255,2.0960455281312544,2.082182584520056,0.2379849417633718,0.2379849417633718,-1.8580605863678827,-1.844197642756684,1.426097575325506e-14,0.6733885951380076,0.9999999999999828,1.9871407199096975e-18,12
0.26,50,0.02,48,1e-10,1.1628705930733436e-06,5.541864206109994e-43,5.5418642060973945e-43,1.1083728412207389e-42,1.1628705930733436e-06,0.2732923792109408,1.9459765611058024,1.945976561105848,1.9321136174946263,0.2732923792109408,0.2732923792109408,-1.6726841818948843,-1.658821238283685,2.2737042992183268e-12,0.6272276373573096,1.0000000000000002,2.175973726762656e-18,13
0.28,50,0.02,48,1e-10,1.965988666914453e-07,5.258548496438158e-40,5.2585484964318046e-40,1.0517096992869963e-39,1.965988666914453e-07,0.3088420078757982,1.8088709736468247,1.8088709736468491,1.7950080300356384,0.3088420078757982,0.3088420078757982,-1.5000289657710388,-1.48616602215984,1.208010899567275e-12,0.5802538713978596,0.9999999999999808,2.513784274261337e-18,13
0.3,50,0.02,48,1e-10,3.4094730401327686e-08,2.8253913522838435e-37,2.825391352282117e-37,5.650782704565961e-37,3.4094730401327686e-08,0.3438824599656781,1.6831400310798807,1.683140031079893,1.669277087468688,0.3438824599656781,0.3438824599656781,-1.3392575711142087,-1.3253946275030095,6.110441845623176e-13,0.5328940661759675,1.000000000000007,2.8131389581905457e-18,14
0.32,50,0.02,48,1e-10,6.2989006375196714e-09,9.160373429454652e-35,9.160373429451397e-35,1.8320746858906047e-34,6.2989006375196714e-09,0.3776578144151434,1.5675118261905765,1.5675118261905834,1.553648882579381,0.3776578144151434,0.3776578144151434,-1.1898540117754364,-1.1759910681642376,3.552648083695621e-13,0.4855477552749417,1.0000000000000284,2.8286803165128768e-18,15
0.34,50,0.02,48,1e-10,1.2834552588549095e-09,1.8871004179263696e-32,1.8871004179259939e-32,3.774200835852364e-32,1.2834552588549095e-09,0.4094741994985553,1.460953629903834,1.460953629903838,1.447090686292637,0.4094741994985553,0.4094741994985553,-1.0514794304052806,-1.0376164867940816,1.9898474627794265e-13,0.4385847408700651,1.0000000000000102,2.95489933746796e-18,15
0.36,50,0.02,48,1e-10,2.96644214073279e-10,2.577278943430244e-30,2.577278943430024e-30,5.154557886860268e-30,2.96644214073279e-10,0.4387697525526725,1.3626163724107183,1.36261637241072,1.3487534287995202,0.4387697525526725,0.4387697525526725,-0.9238466198580466,-0.9099836762468476,8.536284342050701e-14,0.3923438525952564,1.0000000000000044,3.3350130870883575e-18,16
0.38,50,0.02,48,1e-10,7.923713444066552e-11,2.417370331334629e-28,2.417370331334629e-28,4.834740662669259e-28,7.923713444066552e-11,0.4651715211558532,1.2717940458886057,1.2717940458886057,1.257931102277407,0.4651715211558532,0.4651715211558532,-0.8066225247327524,-0.7927595811215534,0.0,0.347132707526041,1.000000000000006,3.779535574642031e-18,17
0.4,50,0.02,48,1e-10,2.4649913501852376e-11,1.6040660495686283e-26,1.6040660495686854e-26,3.208132099137314e-26,2.4649913501852408e-11,0.4885249544899729,1.187893414624267,1.1878934146242663,1.1740304710130678,0.4885249544899729,0.4885249544899729,-0.6993684601342938,-0.6855055165230948,3.560339624955472e-14,0.3032281906336606,0.9999999999999936,4.3423916446062085e-18,18
0.42,50,0.02,48,1e-10,8.904145291117699e-12,7.722035011415355e-25,7.722035011416563e-25,1.5444070022831919e-24,8.904145291119243e-12,0.5088900836915492,1.1104109878607311,1.110410987860728,1.0965480442495306,0.5088900836915458,0.5088900836915492,-0.6015209041691804,-0.5876579605579814,1.5638840962159077e-13,0.2608773763383923,0.999999999999986,4.888219005946101e-18,20
0.44,50,0.02,48,1e-10,3.689800641280343e-12,2.755771538939397e-23,2.7557715389397504e-23,5.511543077879147e-23,3.689800641335459e-12,0.5265089737217781,1.038915193700665,1.0389151937006624,1.0250522500894648,0.5265089737214794,0.5265089737217781,-0.5124062199788857,-0.4985432763676867,1.2796717734532741e-13,0.2202986384900173,1.0000000000000058,5.520613970972805e-18,22
0.46,50,0.02,48,1e-10,1.7215290726127496e-12,7.427992148735935e-22,7.427992148736728e-22,1.4855984297472664e-21,1.721529074098348e-12,0.5417561644864148,0.9730323291872268,0.9730323291872248,0.9591693855760268,0.5417561644691558,0.5417561644864148,-0.431276164700811,-0.4174132210896121,1.0659852337735685e-13,0.1816827433767944,1.000000000000009,6.425470548284692e-18,24
0.48,50,0.02,48,1e-10,8.840566985483187e-13,1.537162718518476e-20,1.5371627185186726e-20,3.074325437037149e-20,8.840567292915732e-13,0.5550851039140103,0.912435270666336,0.9124352706663332,0.8985723270551357,0.5550851032185062,0.5550851039140103,-0.3573501667523242,-0.3434872231411253,1.278361992981719e-13,0.1451937817448085,1.0000000000000058,6.908086252114599e-18,27
0.5,50,0.02,48,1e-10,4.877297968426463e-13,2.477885869817372e-19,2.477885869817636e-19,4.955771739635008e-19,4.877302924198203e-13,0.5669802967479559,0.8568342208423714,0.8568342208423693,0.8429712772311714,0.5669802764261742,0.5669802967479559,-0.2898539240944143,-0.2759909804832154,1.0648287138442097e-13,0.1109698639263915,0.9999999999999968,7.46868194717925e-18,27
0.52,50,0.02,48,1e-10,2.822449034891949e-13,3.1521468442126632e-18,3.152146844212865e-18,6.304293688425528e-18,2.8225120778288333e-13,0.5779200249753911,0.8059689583070287,0.8059689583070275,0.7921060146958293,0.5779195782553118,0.5779200249753911,-0.2280489333316371,-0.2141859897204382,6.390954550634736e-14,0.0791235695195592,1.0000000000000069,8.488277178142069e-18,29
0.54,50,0.02,48,1e-10,1.6754566448729508e-13,3.2021968744581756e-17,3.202196874458358e-17,6.404393748916535e-17,1.6760970842478426e-13,0.5883504091399187,0.7596021896674843,0.7596021896674832,0.7457392460562847,0.5883427656475633,0.5883504091399187,-0.171251780527565,-0.157388836916366,5.677595534500434e-14,0.0497422027268065,1.0000000000000218,9.221253454627985e-18,31
0.56,50,0.02,48,1e-10,1.0001477204622463e-13,2.62656235038992e-16,2.626562350390032e-16,5.253124700779954e-16,1.0054008451630261e-13,0.5986691699873988,0.7175137117562049,0.717513711756204,0.7036507681450055,0.598564397920459,0.5986691699873988,-0.1188445417688056,-0.1049815981576066,4.2610692608006777e-14,0.0228879508035573,0.9999999999999922,9.902990754651209e-18,33
0.58,50,0.02,48,1e-10,5.902427865116351e-14,1.757720715863718e-15,1.7577207158637677e-15,3.5154414317274854e-15,6.2539720082891e-14,0.6092165506617366,0.6794951694592888,0.6794951694592882,0.6656322258480896,0.6080594903740046,0.6092165506617366,-0.0702786187975519,-0.0564156751863529,2.8386450591902142e-14,-0.0014019278177353,0.999999999999994,1.0278796533342616e-17,34
0.6,50,0.02,48,1e-10,3.3961610116301506e-14,9.694059292100915e-15,9.69405929210126e-15,1.9388118584202175e-14,5.334972870050369e-14,0.6202709124490132,0.6453452628227032,0.6453452628227025,0.631482319211504,0.6112381500490452,0.6202709124490132,-0.0250743503736896,-0.0112114067624907,3.5479807200747475e-14,-0.0231147491397001,1.000000000000007,1.0909715434018935e-17,36
0.62,50,0.02,48,1e-10,1.88483584757278e-14,4.4500935709314534e-14,4.450093570931626e-14,8.900187141863078e-14,1.0785022989435861e-13,0.6320470113664884,0.614865323575679,0.6148653235756782,0.6010023799644797,0.597160657809315,0.6148653235756782,0.0171816877908097,0.0310446314020087,3.899904493745138e-14,-0.0422617551981866,0.9999999999999865,1.1230642175535534e-17,37
0.64,50,0.02,48,1e-10,1.0014132054914852e-14,1.7174556020023384e-13,1.7174556020023566e-13,3.4349112040046945e-13,3.5350525245538433e-13,0.6446955818812047,0.5878552462900979,0.5878552462900977,0.5739923026788989,0.5734175610250675,0.5878552462900977,0.0568403355911069,0.0707032792023057,1.0582722042480647e-14,-0.0588770694127721,1.0,1.1523773415087012e-17,38
