time,n_sites,final_field,prob_up,prob_down,return_echo,rate_up,rate_down,rate_total,rate_lower_envelope,delta_rate,magnetization_z
2.232,400,0.7,1.2766283168502052e-28,1.535550264342026e-05,1.535550264342026e-05,0.16057040032195186,0.027710091674425962,0.027710091674425962,0.027710091674425962,0.1328603086475259,-0.8243693333176242
2.236,400,0.7,1.1499502012708517e-28,1.9278114648633043e-05,1.9278114648633043e-05,0.16083165991409618,0.027141350153743492,0.027141350153743492,0.027141350153743492,0.13369030976035268,-0.8270859796778767
2.24,400,0.7,5.611136165188554e-29,2.412617702932214e-05,2.412617702932214e-05,0.16262553618202272,0.026580532807872915,0.026580532807872915,0.026580532807872915,0.1360450033741498,-0.8297842089156048
2.244,400,0.7,1.1736217130576333e-28,3.009853096522434e-05,3.009853096522434e-05,0.16078072038728944,0.026027585481356256,0.026027585481356256,0.026027585481356256,0.1347531349059332,-0.832463849826001
2.248,400,0.7,6.820742174495819e-29,3.7432109873707846e-05,3.7432109873707846e-05,0.16213749851913228,0.025482454172791172,0.025482454172791172,0.025482454172791172,0.13665504434634113,-0.8351247314003487
2.2520000000000002,400,0.7,6.445681101360485e-29,4.640821743572329e-05,4.640821743572329e-05,0.16227889346746982,0.02494508503626143,0.02494508503626143,0.02494508503626143,0.1373338084312084,-0.837766682856449
2.2560000000000002,400,0.7,1.4934367066136958e-29,5.735963338787967e-05,5.735963338787967e-05,0.16593471929571385,0.024415424382795065,0.024415424382795065,0.024415424382795065,0.14151929491291879,-0.8403895336692425
2.2600000000000002,400,0.7,7.958947710992415e-29,7.067861735678107e-05,7.067861735678107e-05,0.16175167725705336,0.023893418681797746,0.023893418681797746,0.023893418681797746,0.1378582585752556,-0.8429931136016161
2.2640000000000002,400,0.7,7.980797096368411e-29,8.682587991922609e-05,8.682587991922609e-05,0.1617448235089775,0.023379014562465276,0.023379014562465276,0.023379014562465276,0.13836580894651224,-0.8455772527353779
2.2680000000000002,400,0.7,1.0098631810546885e-28,0.00010634058740223,0.00010634058740223,0.1611564193661463,0.02287215881522689,0.02287215881522689,0.02287215881522689,0.1382842605509194,-0.848141781502405
2.2720000000000002,400,0.7,5.986217523052786e-29,0.0001298514624562197,0.0001298514624562197,0.16246376987356193,0.02237279839315084,0.02237279839315084,0.02237279839315084,0.14009097148041108,-0.8506865307159441
2.2760000000000002,400,0.7,6.220376267302753e-29,0.00015808903589409627,0.00015808903589409627,0.16236784324692596,0.021880880413342664,0.021880880413342664,0.021880880413342664,0.1404869628335833,-0.8532113316020609
2.2800000000000002,400,0.7,2.583104902545248e-29,0.00019189909646193947,0.00019189909646193947,0.16456493892715268,0.021396352158353463,0.021396352158353463,0.021396352158353463,0.14316858676879923,-0.8557160158312277
2.2840000000000003,400,0.7,4.750817790162839e-29,0.00023225737387981492,0.00023225737387981492,0.16304162731812408,0.020919161077556786,0.020919161077556786,0.020919161077556786,0.1421224662405673,-0.8582004155500422
2.2880000000000003,400,0.7,1.1050483021016463e-29,0.0002802854764578349,0.0002802854764578349,0.16668769662625946,0.020449254788535213,0.020449254788535213,0.020449254788535213,0.14623844183772425,-0.8606643634130642
2.2920000000000003,400,0.7,6.225915184197464e-29,0.0003372680877098491,0.0003372680877098491,0.16236561811935205,0.019986581078430325,0.019986581078430325,0.019986581078430325,0.14237903704092172,-0.8631076926147667
2.2960000000000003,400,0.7,7.154442892166657e-30,0.00040467140650902566,0.00040467140650902566,0.1677745481064361,0.019531087905316945,0.019531087905316945,0.019531087905316945,0.14824346020111917,-0.8655302369215807
2.3000000000000003,400,0.7,4.001860852462689e-29,0.00048416279242628096,0.00048416279242628096,0.16347052057692457,0.019082723399529405,0.019082723399529405,0.019082723399529405,0.14438779717739517,-0.8679318307040401
2.3040000000000003,400,0.7,1.983206930470073e-29,0.0005776315519071572,0.0005776315519071572,0.1652256312512625,0.018641435864998886,0.018641435864998886,0.018641435864998886,0.1465841953862636,-0.8703123089690005
2.308,400,0.7,2.937368851435064e-29,0.0006872107719895603,0.0006872107719895603,0.16424363366168426,0.01820717378057137,0.01820717378057137,0.01820717378057137,0.14603645988111288,-0.8726715073919314
2.312,400,0.7,2.0993569700944157e-29,0.0008153000764515198,0.0008153000764515198,0.16508334150926282,0.01777988580131096,0.01777988580131096,0.01777988580131096,0.14730345570795186,-0.8750092623492717
2.316,400,0.7,3.265568031603734e-29,0.0009645891448514992,0.0009645891448514992,0.16397883493310528,0.017359520759789866,0.017359520759789866,0.017359520759789866,0.14661931417331542,-0.8773254109508285
2.32,400,0.7,2.2707777939757288e-29,0.001138081798203827,0.001138081798203827,0.16488711320875982,0.016946027667368576,0.016946027667368576,0.016946027667368576,0.14794108554139124,-0.8796197910722268
2.324,400,0.7,1.4474801846090935e-29,0.0013391204164505516,0.0013391204164505516,0.1660128586396131,0.016539355715454333,0.016539355715454333,0.016539355715454333,0.14947350292415876,-0.8818922413873759
2.328,400,0.7,5.035066742845016e-29,0.0015714104129523157,0.0015714104129523157,0.16289635228741525,0.016139454276749562,0.016139454276749562,0.016139454276749562,0.1467568980106657,-0.8841426014009656
2.332,400,0.7,8.51420100707669e-30,0.0018390444505763026,0.0018390444505763026,0.16733954328422038,0.0157462729064843,0.0157462729064843,0.0157462729064843,0.15159327037773607,-0.8863707114809642
2.336,400,0.7,4.161077280085511e-29,0.0021465260433130807,0.0021465260433130807,0.16337298423629976,0.015359761343632806,0.015359761343632806,0.015359761343632806,0.14801322289266694,-0.888576412891115
2.34,400,0.7,9.335442950614852e-30,0.0024987921475322712,0.0024987921475322712,0.1671093364085807,0.014979869512113215,0.014979869512113215,0.014979869512113215,0.15212946689646747,-0.8907595478234197
2.344,400,0.7,6.17255221275175e-29,0.002901234308887234,0.002901234308887234,0.1623871382392372,0.014606547521968967,0.014606547521968967,0.014606547521968967,0.14778059071726823,-0.8929199594305988
2.348,400,0.7,3.6639271855455536e-29,0.003359717895461317,0.003359717895461317,0.16369108030788382,0.014239745670539919,0.014239745670539919,0.014239745670539919,0.1494513346373439,-0.8950574918585105
2.352,400,0.7,1.6839676524124274e-29,0.0038805989160886414,0.0038805989160886414,0.16563453747493223,0.013879414443606363,0.013879414443606363,0.013879414443606363,0.15175512303132588,-0.897171990278528
2.356,400,0.7,2.3418490710487346e-29,0.004470737895844834,0.004470737895844834,0.1648100671954988,0.01352550451652555,0.01352550451652555,0.01352550451652555,0.15128456267897325,-0.8992633009198582
2.36,400,0.7,5.182074378560065e-29,0.0051375102597133225,0.0051375102597133225,0.16282440565384207,0.013177966755343218,0.013177966755343218,0.013177966755343218,0.14964643889849885,-0.9013312711017892
2.364,400,0.7,1.1251336703180059e-29,0.005888812661311323,0.005888812661311323,0.166642664625422,0.012836752217889094,0.012836752217889094,0.012836752217889094,0.15380591240753289,-0.903375749265855
2.368,400,0.7,2.2266851426154924e-29,0.00673306468745034,0.00673306468745034,0.16493613425099873,0.012501812154856113,0.012501812154856113,0.012501812154856113,0.15243432209614263,-0.9053965850079118
2.372,400,0.7,5.605814054364591e-31,0.007679205372159052,0.007679205372159052,0.17414083399915603,0.012173098010856108,0.012173098010856108,0.012173098010856108,0.16196773598829992,-0.907393629110112
2.376,400,0.7,4.8360929155387067e-29,0.008736683966419474,0.008736683966419474,0.16299715137738807,0.011850561425462354,0.011850561425462354,0.011850561425462354,0.15114658995192573,-0.909366733572756
2.38,400,0.7,4.3275145872572226e-29,0.009915444433170606,0.009915444433170606,0.16327493579484248,0.011534154234227862,0.011534154234227862,0.011534154234227862,0.15174078156061463,-0.9113157516460245
2.384,400,0.7,3.380367629892444e-29,0.011225903171541941,0.011225903171541941,0.16389245806751662,0.011223828469685443,0.011223828469685443,0.011223828469685443,0.15266862959783117,-0.9132405378615707
2.388,400,0.7,4.2632719525828285e-29,0.012678919520356782,0.012678919520356782,0.16331232691842415,0.010919536362330196,0.010919536362330196,0.010919536362330196,0.15239279055609395,-0.9151409480639583
2.392,400,0.7,1.0121712314416806e-29,0.014285758648895886,0.014285758648895886,0.16690717484811401,0.01062123034157867,0.01062123034157867,0.01062123034157867,0.15628594450653535,-0.9170168394419485
2.396,400,0.7,3.7073855593473905e-29,0.016058046512632245,0.016058046512632245,0.16366160192402743,0.010328863036710701,0.010328863036710701,0.010328863036710701,0.15333273888731672,-0.9188680705596017
2.4,400,0.7,6.433714247249722e-29,0.018007716633067238,0.018007716633067238,0.16228353920480085,0.010042387277788202,0.010042387277788202,0.010042387277788202,0.15224115192701265,-0.920694501387206
2.404,400,0.7,2.839522295153585e-29,0.02014694855321486,0.02014694855321486,0.1643283296618356,0.009761756096555347,0.009761756096555347,0.009761756096555347,0.15456657356528025,-0.9224959933320039
2.408,400,0.7,4.127093476253912e-29,0.022488097923106524,0.022488097923106524,0.1633934857409628,0.00948692272731735,0.00948692272731735,0.00948692272731735,0.15390656301364544,-0.9242724092687108
2.412,400,0.7,3.991019341204457e-29,0.025043618281762225,0.025043618281762225,0.16347730256141849,0.00921784060779748,0.00921784060779748,0.00921784060779748,0.154259461953621,-0.9260236135698215
2.416,400,0.7,2.0044347063857033e-29,0.02782597472211811,0.02782597472211811,0.1651990140444354,0.00895446337997396,0.00895446337997396,0.00895446337997396,0.15624455066446144,-0.9277494721356775
2.42,400,0.7,5.250498453422927e-29,0.03084754975192435,0.03084754975192435,0.16279161170305378,0.008696744890894982,0.008696744890894982,0.008696744890894982,0.1540948668121588,-0.9294498524242993
2.424,400,0.7,6.5157029467385e-29,0.034120541794740174,0.034120541794740174,0.1622518814885279,0.00844463919347295,0.00844463919347295,0.00844463919347295,0.15380724229505494,-0.9311246234809621
2.428,400,0.7,1.3839170076148117e-28,0.03765685690895796,0.03765685690895796,0.1603686617850801,0.008198100547256566,0.008198100547256566,0.008198100547256566,0.15217056123782355,-0.9327736559675103
2.432,400,0.7,1.5658555149583222e-29,0.041467994437018596,0.041467994437018596,0.16581633841817783,0.007957083419181167,0.007957083419181167,0.007957083419181167,0.15785925499899667,-0.9343968221913909
2.436,400,0.7,8.35828592158102e-29,0.04556492742935512,0.04556492742935512,0.16162928581014158,0.007721542484298202,0.007721542484298202,0.007721542484298202,0.15390774332584337,-0.9359939961344043
2.44,400,0.7,5.427557330788715e-29,0.04995797881575578,0.04995797881575578,0.16270869627773307,0.007491432626482131,0.007491432626482131,0.007491432626482131,0.15521726365125094,-0.9375650534811582
2.444,400,0.7,6.384538604053117e-29,0.05465669441817804,0.05465669441817804,0.16230272118108943,0.007266708939115301,0.007266708939115301,0.007266708939115301,0.15503601224197414,-0.9391098716472044
2.448,400,0.7,4.3887246157292556e-29,0.05966971401117099,0.05966971401117099,0.16323982258071118,0.007047326725751855,0.007047326725751855,0.007047326725751855,0.1561924958549593,-0.9406283298068658
2.452,400,0.7,2.535998137601877e-29,0.06500464173664029,0.06500464173664029,0.16461095098659181,0.0068332415007581,0.0068332415007581,0.0068332415007581,0.15777770948583372,-0.9421203089207245
2.456,400,0.7,9.006276836738788e-29,0.07066791726610107,0.07066791726610107,0.16144261484068875,0.006624408989932548,0.006624408989932548,0.006624408989932548,0.1548182058507562,-0.9435856917627703
2.46,400,0.7,7.569574593742631e-29,0.07666468917411007,0.07666468917411007,0.1618770770682306,0.006420785131102198,0.006420785131102198,0.006420785131102198,0.1554562919371284,-0.9450243629471976
2.464,400,0.7,1.3300671553462088e-28,0.08299869203874644,0.08299869203874644,0.16046788292533204,0.006222326074697567,0.006222326074697567,0.006222326074697567,0.15424555685063449,-0.9464362089548358
2.468,400,0.7,5.0042887215062144e-29,0.08967212881760248,0.08967212881760248,0.16291168101936102,0.006028988184305707,0.006028988184305707,0.006028988184305707,0.15688269283505532,-0.9478211181592107
2.472,400,0.7,1.3771651416079235e-28,0.0966855600590912,0.0966855600590912,0.16038088865682887,0.005840728037200555,0.005840728037200555,0.005840728037200555,0.1545401606196283,-0.9491789808522162
2.476,400,0.7,1.0289139418890409e-28,0.10403780149794938,0.10403780149794938,0.16110969695809918,0.005657502424850803,0.005657502424850803,0.005657502424850803,0.15545219453324838,-0.9505096892693946
2.48,400,0.7,1.268358335713186e-29,0.11172583154990393,0.11172583154990393,0.16634311070398256,0.005479268353407015,0.005479268353407015,0.005479268353407015,0.16086384235057555,-0.9518131376148125
2.484,400,0.7,4.2921010182622626e-29,0.11974471016359901,0.11974471016359901,0.1632954783398201,0.005305983044164964,0.005305983044164964,0.005305983044164964,0.15798949529565515,-0.9530892220855188
2.488,400,0.7,1.6373839907113072e-28,0.1280875104075093,0.1280875104075093,0.159948206907957,0.005137603934007955,0.005137603934007955,0.005137603934007955,0.15481060297394905,-0.9543378408955842
2.492,400,0.7,6.094932344276874e-29,0.13674526406704232,0.13674526406704232,0.16241877508539093,0.0049740886758265716,0.0049740886758265716,0.0049740886758265716,0.15744468640956436,-0.9555588942996975
2.496,400,0.7,1.0980116884109336e-28,0.14570692240268168,0.14570692240268168,0.16094720403904902,0.004815395138916403,0.004815395138916403,0.004815395138916403,0.15613180890013262,-0.9567522846163297
2.5,400,0.7,1.699440191679662e-28,0.1549593330755691,0.1549593330755691,0.15985520926503474,0.004661481409353982,0.004661481409353982,0.004661481409353982,0.15519372785568075,-0.9579179162504321
2.504,400,0.7,1.0023506462284959e-28,0.16448723408405894,0.16448723408405894,0.1611750867901293,0.004512305790350774,0.004512305790350774,0.004512305790350774,0.1566627809997785,-0.959055695715684
2.508,400,0.7,1.3229383086384761e-28,0.1742732653755911,0.1742732653755911,0.1604813183742264,0.004367826802585249,0.004367826802585249,0.004367826802585249,0.15611349157164117,-0.9601655316562598
2.512,400,0.7,7.614852125609985e-29,0.1842979986052405,0.1842979986052405,0.1618621678237467,0.004228003184512869,0.004228003184512869,0.004228003184512869,0.15763416463923385,-0.9612473348681217
